=== BTC vendor destinations (valued at live rate on tx day) ===
destinations: 141, total sent: 7.39541203 BTC = $624,220.92
price source: Binance BTCUSDT daily open (UTC), live rate at tx day; unpriced transfers: 0

rank address                                              amount              USD   txs  period
 116 bc1qamneul5a9kmnacdcheg2rphs7dfdl3muav02nu         0.02650785         2,526.20     1  2024-12-29 .. 2024-12-29
 117 bc1qhmpr5p76fqc6ga3pcrlzwclvhnpn3575ck3nxv         0.02577515         2,488.70     1  2025-02-07 .. 2025-02-07
 118 bc1qmhzyuwyqxgj5v0epyf8ffe70p8l35wk2g0338w         0.02301074         2,405.92     1  2025-01-19 .. 2025-01-19
 119 bc1qn64f08lsccw3wlktmj5tda0mz4ms3mltuyy5d7         0.02501777         2,370.03     1  2025-05-06 .. 2025-05-06
 120 bc1q68rhfp8xgpejsl8s7p84655hjr9u9vnkj8azym         0.02401477         2,367.55     1  2024-12-05 .. 2024-12-05
 121 bc1q02tafe7sjuzfjxx4549mut2evc82l4638kgx99         0.02784589         2,334.62     1  2025-03-23 .. 2025-03-23
 122 bc1q5w9rlkge57vunac6ccstqlvnxx9n7wmsxl3t5g         0.02785012         2,326.54     1  2025-04-06 .. 2025-04-06
 123 bc1q2w0tvtqe2pu9pwp273x948murcxe3afk87lwk5         0.03014512         2,311.45     1  2024-11-10 .. 2024-11-10
 124 bc1qfs6cur35ktvuj29cyc20d38d9dxe7zf6mzcqvr         0.02261686         2,190.08     1  2025-05-07 .. 2025-05-07
 125 bc1qdnygckj4rh0zzrsqx6vkgvnz4gyen73sp8rkyf         0.02223914         2,177.21     1  2024-11-25 .. 2024-11-25
 126 bc1qd4wksmfs9yw4slvmdg79xxakuar3hjm59wc9rw         0.02485948         2,170.87     1  2024-11-15 .. 2024-11-15
 127 bc1qzn7zqjjyc8gkn3373y6hz69eadn89qm9t5cagx         0.02478281         2,081.34     1  2025-03-15 .. 2025-03-15
 128 1ALghftdrNP4XKKrrUQemu9Ss99xMwqoZN               0.02000004         1,890.24     5  2025-01-11 .. 2025-04-22
 129 bc1qzm3pfj6spnek4hu4u24795lwg42rqh89avvn7f         0.02101952         1,767.51     1  2025-03-22 .. 2025-03-22
 130 bc1qsctxwrh9m88h6d6l5yfral8r67jujcm9uvv75h         0.02296042         1,595.66     1  2024-11-02 .. 2024-11-02
 131 bc1qvlcry9aehhzw2zzf8u5cc0vmcnh4mm2hg9n624         0.01707223         1,453.84     1  2025-04-02 .. 2025-04-02
 132 bc1qq6nvndw6zh70nc3whu6nxjj4lt24zauwjn4jet         0.02168184         1,345.53     1  2024-10-06 .. 2024-10-06
 133 bc1qvty3wcm3jhylc9da9jglt0jfyn95r0ddk48aj9         0.01263367         1,324.13     1  2025-05-11 .. 2025-05-11
