coin,date_utc,destination,amount,usd_value
BTC,2025-05-01,bc1qt5ruxd5s04q86k8qwsewvcncg2e9av59dp7g2z,0.00725238,682.97
BTC,2025-05-03,bc1qgqtvdktwm96hjckszs4scxrmh54r4qp8tna024,0.00810472,785.24
BTC,2025-05-04,bc1qkeyve4hjjnlhpf6wh5rgxk62e7el848lg27tzt,0.00842986,808.06
BTC,2025-05-06,12Wb77wD8zS7W4f6oGG7WyjMayxxh7Lqw4,0.00153196,145.13
BTC,2025-05-06,bc1qn64f08lsccw3wlktmj5tda0mz4ms3mltuyy5d7,0.00255508,242.05
BTC,2025-05-07,bc1qfs6cur35ktvuj29cyc20d38d9dxe7zf6mzcqvr,0.00109049,105.60
BTC,2025-05-10,bc1qaal4lwh4jq0l3ectkukldvz0ee54rnwssdfg46,0.01854574,1909.69
BTC,2025-05-11,bc1qvty3wcm3jhylc9da9jglt0jfyn95r0ddk48aj9,0.00376882,395.01
BTC,2025-05-13,bc1qzakcwku6fm0gesgn89gcc3cp28yjrwarq7rswa,0.00659644,678.06
BTC,2025-05-13,bc1qwnk8yeu74e4hka49phlawp2rkvsas06w970s79,0.00153195,157.47
LTC,2024-10-05,LgzbsbLsmev66YVzQdXqEfTTTBoRqmUUTf,16.00000000,1039.20
LTC,2024-10-05,ltc1qkhu4kuhthqqp68yr4w9q6p7pq7z8qsue2p06te,27.07639084,1758.61
LTC,2024-10-05,MDZwCwNvmZRK5gngQKs5funj4VfT3PPoMw,40.00000000,2598.00
LTC,2024-10-06,LgzbsbLsmev66YVzQdXqEfTTTBoRqmUUTf,15.00000000,994.50
LTC,2024-10-06,ltc1qf046q96qx8uqlsx0kzuusrytfaz2e48rch252a,16.93286209,1122.65
LTC,2024-10-06,ltc1q7dx7xksjwp9cas8872fwntuwnygvwfkkwzkvk0,37.71995623,2500.83
LTC,2024-10-07,ltc1qgv4kvyprjjfj7waeejkjfyr5gllt9p2xzwxqc4,10.91664934,731.74
LTC,2024-10-07,LgzbsbLsmev66YVzQdXqEfTTTBoRqmUUTf,15.00000000,1005.45
LTC,2024-10-07,LgzbsbLsmev66YVzQdXqEfTTTBoRqmUUTf,16.00000000,1072.48
