address,total_in,total_in_usd,total_out,total_out_usd
17oW9GrwpAHqFXwuyuNSEJAqoXhhQbT4AY,0.00273499,297.41,0.00273499,294.1
12gksu1SXA3LXcopjhqNiyGpEoUQ6qkrZN,0.00249333,283.05,0.00249333,293.24
1F9p1VipJTcCT9icK64BguxnzdYYZ8G83F,0.0024918,291.01,0.0024918,291.72
13XnDBgiQLcs2tgb94Lvi4VnNVYLWaARyr,0.00248529,292.41,0.00248529,290.85
1Miu8Bn366NmUtNMKt13w83pdnkDWUzP2L,0.00265801,281.4,0.00265801,290.83
15Yu72iFrNiLU8En5jJP7xRpNMeKC794aP,0.00280224,289.93,0.00280224,288.99
1AwsjX46pmSDVLWUY5AbQb9RceBKBqTK2k,0.00250679,288.95,0.00250679,288.86
1FQJ3fiURfUiJDymMuYk6BqSswTnhAQKjr,0.00272592,288.04,0.00272592,288.43
18RxorPohUk5juXxFdWqyM2DodMJRtb9es,0.00293396,340.75,0.0023788,287.9
1MPZttfsUrDpAZFwoVY56x9nVrL63tiCuX,0.00252105,286.32,0.00252105,287.46
1Fxgn5bEvxsWHymztQGUs33RkPwH7N6FnN,0.0025428,286.21,0.0025428,286.42
1KdHs2esGxhEeg1eFCKzmMLuwqvRjkm4DW,0.00269273,286.87,0.00269273,283.48
1NAaDd9jSvSoHnA1gWdvfcrMekz1VCg4Nf,0.00236935,281.44,0.00236935,279.28
1DMpqeBRUBsavhcUC9eKqL9qMGWm7247Nz,0.0024,280.29,0.0024,276.56
1P7SrkFPKj7G8sx7hh9VzYrjmzjSJ97Jw6,0.00317684,376.27,0.00229069,276.4
1CB85rvVj5ZWKhDJxLgXudCfiA4Ne1AVLr,0.00244632,275.06,0.00244632,275.54
1M8rMq7SETrcLyY1DH313ij4zfA9vd72Lj,0.0025659,271.73,0.0025659,271.95
1DZMTCfAP6tzSx9UE4oePbirb8HwN7e23B,0.00253043,281.42,0.00237016,265.35
1HhN7bf5YRPTFfjVKcdHtevoDUoKwGqHpe,0.00242904,264.9,0.00242904,265.15
15y37UZn1NCKqwTjxTBgLYXXk7Rc698MhV,0.00214868,262.64,0.00214868,262.64
115vqZKRq4x86rqGWGzbNg13XvdhSbkAcp,0.00231648,261.51,0.00231648,261.27
1134dgxbz2iPUSUViV3z5CuAMfXr5Nb8Kz,0.00238295,261.31,0.00238295,261.08
1KbqhyFTtdDhymqdzBFspVVtimds6UCXmL,0.00226814,254.43,0.00226814,260.5
1MKDbFmwKVbTNq1KBYfYaJMiaWXhykBot2,0.00250564,261.38,0.00250564,259.66
1AnCXZrmAE5qzPSMWb6mjzvZUTZD18uWkJ,0.00248471,259.58,0.00248471,259.08
19CFwDyLAkVtDr7b2jSxg8f3PLVZuXNFNd,0.00223179,260.97,0.00223179,257.67
13FXWusC5KtYWcCKsMpMcRU6j5cfBoaadu,0.00244736,254.44,0.00244736,256.44
1PsY7vNkL2LgpqG4WeUG2CoNKawK2oH4Rk,0.00230144,262.99,0.00230144,256.06
18HUibutAgLGj5XB3XtrmEK1JujuN3HYHz,0.00226233,252.64,0.00226233,252.7
174eJpij1eMqmuBzH6r9u3vxqM62MQcmsS,0.00230463,248.11,0.00230463,252.54
18WcmJQdSFRHXzdHsTnoeQvnsNjNRTovPc,0.00232343,246.86,0.00232343,251.38
1NgTJGEp6efV9ikrLc31unnboghGoLiwei,0.00233796,251.29,0.00233796,250.27
12RAVP3jtgV8iCK1CJXGuei4eKa3whL6jV,0.00215308,239.29,0.00215308,248.1
1FeeMosqiYKA49pevbH2GoEaow5EXSChvS,0.00228152,244.37,0.00228152,244.01
15QSfGHfios7bPsMkfKLvwE5HRfFaoATvH,0.00216825,244.21,0.00216825,243.85
19EfXfLrqEWNSYUhAtL8Ukjty9joEjrTGA,0.0021559,245.64,0.0021559,243.45
1KGEPhFxj6wmyfsbeeYnZ8kzTn4R3iAboB,0.00220114,238.98,0.00220114,242.72
1CVCKjvgpmW1LdXH4165iAcT6h3iEQ3QUj,0.00223294,239.59,0.00223294,241.95
12s7Gdr3RoiaN7kBjGuNMw1EgVEZLpZKha,0.00231025,246.72,0.00231025,241.54
1Jx6AvXVdtGfJGYtHtPbmLtcJM5pbzau9w,0.00204248,240.22,0.00204248,240.85
1L1sJRLhHLeUxVrjQGeJeYMHCbHodsCwD,0.00223263,238.6,0.00223263,240.84
1CHJup6J8n36gUPv1qvjuAnsiL92EBqScb,0.0022088,240.81,0.0022088,240.45
1B8upYgBLHBXcqtPnPszmmfRtAaD14J3CA,0.00224116,240.43,0.00224116,240.38
